Country_code_A3,country,year,Substance,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,population,Jan_kg_per_person,Feb_kg_per_person,Mar_kg_per_person,Apr_kg_per_person,May_kg_per_person,Jun_kg_per_person,Jul_kg_per_person,Aug_kg_per_person,Sep_kg_per_person,Oct_kg_per_person,Nov_kg_per_person,Dec_kg_per_person
BGD,Bangladesh,2008,SO2,16.62411963440477,15.047273833063022,6.989176431453907,6.186832055474887,5.700169227329514,5.974492997404703,6.289112490348827,5.248435488535873,5.54697761178421,7.098717591819002,8.664447582409945,10.267629753845757,149000000,0.11157127271412598,0.10098841498700015,0.04690722437217387,0.04152236278842206,0.03825616931093634,0.040097268438957744,0.042208808660059244,0.03522439925191861,0.03722803766298128,0.04764239994509398,0.05815065491550298,0.06891026680433394
BGD,Bangladesh,2009,SO2,13.54820587287508,10.40108024931949,6.61919309933761,5.616699723029395,5.246415300860713,5.403896163528678,5.570664814543496,4.852356865928108,5.137585841749562,6.239385147790654,7.976078151791119,14.202963305208709,151000000,0.08972321770115947,0.06888132615443371,0.04383571588965305,0.03719668690747944,0.034744472191130554,0.0357873918114482,0.03689181996386421,0.0321348136816431,0.03402374729635471,0.04132043144232221,0.05282170961451072,0.09405935963714376
BGD,Bangladesh,2010,SO2,18.089525751447237,11.020215841308133,6.557900750999483,6.030545282665783,5.621367142696705,5.811088821649867,6.008265730697938,5.190695719355431,5.496139008108678,6.736519174314759,7.324565033017555,13.210143308513162,152000000,0.11901003783846867,0.07250142000860614,0.043144083888154494,0.03967464001753805,0.036982678570373066,0.03823084751085439,0.039528064017749595,0.03414931394312784,0.036158809263872875,0.04431920509417605,0.0481879278487997,0.08690883755600765
BGD,Bangladesh,2011,SO2,23.22103280923809,13.948637895824342,10.488638390146132,8.969244311917963,8.19648817287838,8.746540020764986,9.354362927635076,7.525592545626533,7.920812162248752,10.57127278886253,11.81618125104316,17.130064363107067,154000000,0.15078592733271484,0.09057557075210612,0.0681080414944554,0.05824184618128547,0.05322394917453494,0.056795714420551854,0.060742616413214774,0.04886748406250996,0.05143384520940748,0.06864462849910734,0.07672844968209844,0.1112341841760199
BGD,Bangladesh,2012,SO2,25.786192247718585,21.62179231906273,16.867790604533546,13.972088365115017,12.559763341323448,13.744169289923386,15.053166611045354,11.449084728329,12.014323084911243,17.133452829483915,19.60439025883793,24.23261855879233,155000000,0.16636253063044248,0.13949543431653375,0.10882445551311964,0.0901425055813872,0.08103073123434483,0.0886720599349896,0.09711720394222809,0.0738650627634129,0.07751176183813706,0.11053840535150913,0.1264799371537931,0.15633947457285371
BGD,Bangladesh,2013,SO2,33.501678030363976,23.781394363415345,20.450919713129416,17.000351631093565,15.171303517531555,16.76112065550049,18.52379988543025,13.781691146028926,14.455553760113148,21.16089511474023,23.202982689420462,25.6531795305863,157000000,0.21338648426983425,0.1514738494485054,0.13026063511547398,0.10828249446556411,0.09663250648109271,0.10675873028981205,0.11798598653140287,0.08778147226770017,0.09207359082874617,0.13478277143146644,0.14778969865872907,0.16339604796551782
BGD,Bangladesh,2014,SO2,32.71614757187451,28.27762514591541,23.820508257890303,19.014306383257264,16.89808018701266,18.7825295507776,20.895361663313224,15.326541949698672,16.063545315180516,23.92362272906685,26.12860141555881,28.816670530487865,158000000,0.20706422513844625,0.17897231105009753,0.1507627104929766,0.12034371128643837,0.10694987460134596,0.11887676930871899,0.13224912445134954,0.097003430061384,0.10166800832392732,0.1514153337282712,0.16537089503518232,0.1823839906992903
BGD,Bangladesh,2015,SO2,37.49805383793211,31.829705197848373,27.772865809572107,23.157535757270537,20.74996176690172,22.92688351908028,25.277282612169117,18.885075109598688,19.769030950914235,28.75360138227729,30.115611190518432,34.77275819952958,159000000,0.235836816590768,0.20018682514370045,0.17467211200988747,0.14564487897654427,0.13050290419435046,0.14419423596905837,0.15897662020232148,0.11877405729307351,0.12433352799317128,0.1808402602658949,0.18940635968879516,0.21869659244987152
BGD,Bangladesh,2016,SO2,24.770586648643803,16.995142165073258,26.8771891532725,43.26994887634416,65.32082316894486,36.37811759278225,12.536442495753608,54.0876193910029,23.38983229272556,20.319021826468973,18.64317998654295,17.710135166383186,161000000,0.15385457545741493,0.1055598892240575,0.16693906306380435,0.26875744643692023,0.4057193985648749,0.22595104094895807,0.07786610245809694,0.33594794652796833,0.14527846144550038,0.12620510451222966,0.11579614898473883,0.11000083954275269
BGD,Bangladesh,2017,SO2,70.86737823996539,45.891491199981935,50.65968880653857,24.051777184653638,39.57843581911656,36.07595609117959,24.38586503146029,24.528619029054543,37.77404323466046,17.156091008009422,24.095972195179527,25.56303693360133,162000000,0.43745295209855184,0.28328080987643167,0.31271412843542323,0.1484677603990965,0.24431133221676887,0.22269108698259008,0.15053003105839688,0.15141122857441075,0.23317310638679298,0.10590179634573718,0.14874056910604647,0.1577965242814897
BGD,Bangladesh,2018,SO2,82.84079730918944,51.24030673931773,57.55934274827309,28.967925616269216,46.50642959210956,42.56031719973439,29.37513686650733,29.491513853843237,44.4338977926167,21.201081821038663,29.331754788829283,31.575821130623684,164000000,0.5051268128609112,0.31244089475193737,0.3509716021236164,0.17663369278212937,0.28357579019579,0.2595141292666731,0.17911668821041055,0.179826303986849,0.270938401174492,0.12927488915267477,0.17885216334652002,0.1925354946989249
BGD,Bangladesh,2019,SO2,78.0598129651899,50.32076245524031,56.86076547307628,26.09538354948049,44.54050040697542,40.40542319966743,26.629860656962997,26.8479304128167,42.43377504107849,17.938637156582743,25.16518210777029,31.5665135711944,165000000,0.4730897755466055,0.30497431791054735,0.3446106998368259,0.15815383969382116,0.2699424267089419,0.24488135272525716,0.16139309489068485,0.16271472977464668,0.2571743941883545,0.10871901307019845,0.15251625519860781,0.19131220346178424
BGD,Bangladesh,2020,SO2,63.60544967612439,42.42182699411761,44.44926429577288,20.977714665576027,35.10381916667517,31.813772124852647,21.429069758264006,21.5529197593975,33.43483036485991,14.711891444017832,20.939756430280923,23.76174050403745,166000000,0.38316535949472524,0.2555531746633591,0.26776665238417396,0.1263717750938315,0.2114687901606938,0.19164922966778702,0.12909078167628918,0.12983686602046687,0.20141464075216814,0.08862585207239658,0.1261431110257887,0.14314301508456295
BGD,Bangladesh,2021,SO2,75.69814174535325,49.02259080798051,52.10378286432452,23.405465395583423,41.05412802956248,37.07091575410976,23.922428677667035,24.139525459584046,39.03965709896343,15.59055607549652,23.22272510120608,25.45020731895095,168000000,0.4505841770556741,0.29180113576178873,0.3101415646685984,0.1393182464022823,0.24436980969977667,0.22066021282208192,0.1423954087956371,0.14368765154514312,0.23237891130335375,0.09280092902081262,0.1382305065547981,0.15148932927946995
BGD,Bangladesh,2022,SO2,87.04213510819402,59.171069603405485,62.35190518206746,27.621403604273414,48.77009996068,44.02612626009967,28.31540242208589,28.574654055676845,46.35823444834967,18.27896669659939,27.220492871050315,29.603895755322284,169000000,0.5150422195751125,0.3501246722094999,0.3689461845092749,0.16344025801345216,0.28858047314011837,0.26050962284082646,0.16754675989399934,0.16908079322885705,0.27430907957603357,0.1081595662520674,0.16106800515414388,0.17517098080072357
IRQ,Iraq,2008,SO2,65.29231618748548,56.29346495355679,46.93289929325599,41.75534140132579,43.487741406988086,44.48085290290863,47.25987598241638,47.90734947826223,45.47187418287925,44.747806978195726,48.7788538519246,57.70210553200148,28971036,2.253710091260992,1.943094646444704,1.6199938204921631,1.4412788483410048,1.5010765029938207,1.5353559638981715,1.6312801510590227,1.6536291445795115,1.5695632763315488,1.5445704799164146,1.683711064109844,1.9917170215107765
IRQ,Iraq,2009,SO2,65.54199805893809,52.97519846699706,52.5839173492602,43.91516149816188,42.23720472802321,45.37523503869815,49.4784558174943,49.93124033650942,45.063546089339965,47.37798407050148,50.23211487335432,58.11669803774235,30058206,2.18050265737543,1.7624205006445512,1.7494030531715763,1.4610040764961783,1.4051804930747767,1.5095789495453638,1.6460881204119202,1.6611517113333185,1.499209436828664,1.5762079769664725,1.6711614416826581,1.9334719456557838
IRQ,Iraq,2010,SO2,72.32783872389078,63.751713450739885,60.12587413027705,52.56147433186642,55.03416943876551,59.94172394431655,67.2791165784348,70.63298779665003,63.17291895625489,64.0303571308642,63.86218685245006,81.54886112604791,31045366,2.32974669146728,2.053501751299691,1.9367101077267714,1.6930537823862801,1.7727015825410308,1.9307784596360227,2.1671226739100065,2.275153972952035,2.034858244423818,2.0624771223783993,2.057060201913872,2.6267643656076696
IRQ,Iraq,2011,SO2,75.37708524410739,66.15737711575694,63.18330886512207,50.8582621229214,47.67344682138712,50.49418505838448,61.56629274160895,61.22534958841805,59.035153348814696,60.098684367068245,65.44679162689162,78.41333498219377,32161424,2.3437110634189393,2.057041290079598,1.9645681380626079,1.5813436035332702,1.4823176617237819,1.5700233005349662,1.9142900122086928,1.9036890153998793,1.8355889138744197,1.8686574439946517,2.0349469484588623,2.438117633789902
IRQ,Iraq,2012,SO2,87.93225959872257,74.43029483237703,74.40671926348487,50.59854000515764,56.826287666303806,65.96077653355566,76.30904840814941,72.67627673055081,72.21523784368053,66.55975228965409,71.778533625884,81.28295063383331,33654842,2.612766971204992,2.2115776039708352,2.210877093509602,1.5034549859172608,1.6885025835600063,1.9599193641603088,2.2674017726230717,2.1594597511570788,2.1457607153134317,1.9777169742664096,2.1327847453832645,2.4151933511924764
IRQ,Iraq,2013,SO2,103.24897254658129,83.61244318794577,83.53779487642439,72.54492393696736,79.34967613457803,87.55026109512008,94.27168671414748,88.04845062003643,90.95880525183551,85.5498037659416,94.49757890530812,105.52637150626072,35281989,2.926393195876267,2.3698336051276976,2.367717842563365,2.0561460958725246,2.2490136861212116,2.4814434666685052,2.6719493255935056,2.495563688884899,2.578052083510244,2.4247443579765755,2.6783518045229284,2.9909416814981924
IRQ,Iraq,2014,SO2,101.83882065827429,88.78477290335368,87.57026012947505,83.11244188793387,85.41406861844361,83.81104664599151,91.05380875439504,95.78526212860332,89.9706921332881,82.66211230262546,95.36294752254236,103.52883858159382,36550059,2.7862833452135956,2.4291280324158624,2.3958992823917202,2.2739345479013826,2.336906449821151,2.2930481903186943,2.4912082564461806,2.620659576188463,2.4615744705990243,2.261613648903425,2.6091051596535686,2.8325217910481024
IRQ,Iraq,2015,SO2,105.3063353057589,95.6682977974368,91.21621808949756,73.15023767331779,79.62680594227612,80.16629371138613,89.9923716466247,99.95011879870354,90.90843750325784,90.53923465062272,94.9764776856856,114.0434262162406,37560535,2.803643113862966,2.5470430013160565,2.4285122160666126,1.9475291731951578,2.11995931214175,2.134322466689735,2.395928909069711,2.661040871720904,2.4203179614789256,2.4104884195771628,2.528624197863145,3.036256704443656
IRQ,Iraq,2016,SO2,225.4207527287723,55.73904691843183,46.47799111547722,56.89514053178688,49.314506251689856,43.08104639923327,45.46186255216626,46.43319585723408,42.35277740088404,42.90998643002057,115.1498482237948,411.6364216720388,38469627,5.859707262791301,1.4489105111009222,1.2081736876595455,1.4789626250284902,1.2819075748171371,1.1198716951228374,1.181759899885857,1.2070092558275671,1.1009406823955958,1.115425071057241,2.9932665638737492,10.70029666968278
IRQ,Iraq,2017,SO2,426.4567183969805,207.21820439798609,59.72491477951554,51.70694787456783,52.99937828041684,52.84454428935789,52.69575796634165,50.04097404934896,49.21501748338952,57.50363127387352,64.13450929197677,61.758294004446576,39337353,10.841012062936224,5.267721099535754,1.5182748767949774,1.3144490905264476,1.3473041330568643,1.3433680779018835,1.3395857613078759,1.2720981518341856,1.2511014018505395,1.4618073380248418,1.6303717561264677,1.56996567624788
IRQ,Iraq,2018,SO2,387.0080197399102,187.4598445553409,56.361108450397325,50.052293369505634,51.09157422079559,50.73601458641373,50.50486657953392,47.98271648301648,47.35322487525258,55.35575859853542,62.197763183265046,62.75778585187854,40265624,9.611375195375345,4.655580267558772,1.3997326466466118,1.2430527183561253,1.2688633416135708,1.2600329895896742,1.2542924103084536,1.1916546104691308,1.1760211359260837,1.3747647024800962,1.5446864348424116,1.5585946427125663
IRQ,Iraq,2019,SO2,395.0156108660177,192.6079770901711,61.18421457352121,52.83269982006743,52.71841755981022,52.38161304406837,52.1667384454469,49.57861260250376,48.96976972695256,56.72917477328541,63.48922185218344,62.76024661049908,41192171,9.589579798210142,4.675839423228533,1.4853360016766588,1.2825908063954055,1.279816437929679,1.271640017324369,1.2664236232037127,1.203593095457478,1.1888125470966937,1.3771834160740255,1.541293413551411,1.5235964768766153
IRQ,Iraq,2020,SO2,308.5962827798591,152.93173600292835,48.12463033391237,41.6598162211352,42.26185613283025,41.87140468374173,41.64956615189056,39.61588080266313,39.20523973403208,45.59985966102969,51.02812137160093,52.794785941267165,42116605,7.327188000548931,3.6311506115682484,1.1426521756421812,0.9891541880247755,1.0034487854097036,0.9941780607373679,0.9889108144374543,0.9406237944075294,0.9308736953995242,1.082705020051585,1.2115915176828933,1.253538502005733
IRQ,Iraq,2021,SO2,347.0572206876539,170.3258998474661,55.17958236959616,46.99992659340749,47.25213668039477,47.07559905888885,46.83741718631058,44.54104222844222,44.10832803912934,51.17476896962871,57.321740480522784,60.33445568751221,43071211,8.057753952812098,3.9545184798139554,1.2811244701152276,1.091214421470701,1.0970700749601576,1.092971336675183,1.0874413813512367,1.0341256072052913,1.02407912420037,1.1881432581412374,1.33085973553246,1.4008070422610641
IRQ,Iraq,2022,SO2,384.95134879075937,186.69022308878,63.65681509372008,51.18638226562079,52.41017996485971,51.84649980060389,51.61351343684163,49.07761111313575,48.55234526286949,56.153967303420494,62.57096283211924,64.16535766720368,44070551,8.734888492561833,4.236167210361858,1.4444297529595234,1.161464540473315,1.1892335987553164,1.1764431944725149,1.1711565266529487,1.1136146474124127,1.1016958980809994,1.2741834633159113,1.4197907993507783,1.455969036266501
MMR,Myanmar,2008,SO2,5.543383761069252,5.198714906575938,4.1949171968778005,3.58092711746861,2.747849817056603,2.3214580161943656,2.1879552301346314,2.059120600151316,2.70071705514438,3.602873820370074,4.477728403015806,5.189939748918587,48390793,0.1145545137288668,0.10743190148952379,0.08668833339593755,0.07400017431970189,0.05678455852245701,0.04797313439757777,0.04521428756364111,0.04255190858623283,0.05581055584570355,0.0744537048684049,0.09253265188309286,0.1072505620835473
MMR,Myanmar,2009,SO2,5.603315072211796,4.374272664525276,4.1862963612084005,3.4678447945481365,2.694862988587957,2.2270709288238195,2.0706111866527253,1.997082269225607,2.6429821554400093,3.477038342566938,4.033011096039265,5.774368470640221,48660459,0.11515129917314992,0.08989378140730805,0.0860307618801623,0.07126617516181129,0.055380961132897595,0.04576756928708419,0.04255223294652287,0.04104117203714842,0.05431478061972266,0.0714551077820071,0.08288066284042377,0.11866654341752553
MMR,Myanmar,2010,SO2,5.895604297786704,4.972039715740823,4.301096525062331,3.89757365658836,3.0673371816547816,2.600287405536652,2.448172734612431,2.30519169980313,2.983463616549189,3.8550768084345086,4.468562160491597,5.942784557236212,49024382,0.12025861535157556,0.1014197326493748,0.08773382446845186,0.07950275959803757,0.06256758487347748,0.05304069729092459,0.04993786019806289,0.0470213311368847,0.060856730770194906,0.07863590832077208,0.09114979074068892,0.12122099891511559
MMR,Myanmar,2011,SO2,6.120358863100647,4.9032490483744855,4.4291885173288765,3.716078251345088,2.8871625294654173,2.4460965521841214,2.340983507800195,2.2040553921592863,2.7776389878885728,3.7100369153016057,4.695520003203829,5.252537728617236,49419820,0.12384421600687026,0.09921624660661421,0.08962372823957829,0.07519408713639766,0.05842114620137057,0.049496265914852004,0.04736932485387836,0.04459861230088022,0.056204959627302827,0.0750718419310634,0.09501289165366911,0.10628403196566147
MMR,Myanmar,2012,SO2,7.567229377047956,6.018383672169898,5.355066765128853,4.566843870269515,3.611455991276362,3.1802125956938103,3.030834835971397,2.8489623834844475,3.5111348115756136,4.585421924521989,4.940425558747514,6.921867104952816,49837446,0.1518382257599628,0.12076027475745643,0.10745066601384133,0.09163478943663193,0.07246470838967875,0.06381170888439609,0.0608144092289841,0.057165095969894754,0.07045174047593879,0.09200756243652593,0.09913079331447912,0.13888888096217483
MMR,Myanmar,2013,SO2,8.07044008793643,5.423885240097399,5.268038499956764,4.5947056411192575,3.783404664528749,3.2188130788909888,3.0569020522099666,2.9237647985092843,3.595010575911082,4.588009052038502,5.317551814907677,8.181046805130892,50262658,0.1605653264086517,0.10791083193605477,0.1048101853259882,0.09141390097434278,0.07527267389099775,0.06403984999939694,0.06081855146239911,0.05816972111799747,0.07152448197051342,0.09128066908117954,0.10579527678197356,0.16276590078325925
MMR,Myanmar,2014,SO2,8.630647585317236,6.929838618692319,5.975056648288789,5.014734400950665,4.156697422384378,3.584881230056534,3.381089508339232,3.3503057637842044,3.994325013440304,4.987245012402995,5.895518735052238,7.595455582779325,50681634,0.17029142322674987,0.1367327387016038,0.1178939228417298,0.09894579170337456,0.0820158525746107,0.07073333961680348,0.06671232242313324,0.06610492794656551,0.07881208039662463,0.09840339820935913,0.11632455920920462,0.14986603594468412
MMR,Myanmar,2015,SO2,8.753019180049412,7.718932942039331,6.141753158994145,5.391853303398451,4.370873830408768,3.8688970039991513,3.66976851877132,3.592564596834262,4.226225109228591,5.284830489883093,6.08326168498097,8.407596094008312,51089056,0.1713286536366891,0.15108779739518638,0.12021661075503422,0.10553832318605477,0.0855540143550268,0.07572848877848029,0.07183081477902666,0.0703196511760613,0.08272270893454345,0.10344349462795109,0.1190717183144071,0.1645674583223521
MMR,Myanmar,2016,SO2,13.25067455102024,7.727831860789638,5.800645189166366,4.773977400736928,3.800151473543202,2.9663040975534947,2.737135298985152,2.7199356238471752,3.3965635202966795,4.131398045512322,5.923401819602123,8.01143358255642,51495696,0.2573161561117698,0.15006752915407995,0.11264330108610177,0.09270633803525886,0.07379551629990984,0.05760295185744251,0.05315270035354318,0.05281869816551611,0.0659582020271496,0.08022802615411435,0.11502712420086765,0.15557481896266476
MMR,Myanmar,2017,SO2,16.61061535979067,12.910412051144894,12.282763251188928,9.055470278089986,7.7295802249077346,6.6370849784286445,6.820364652698045,6.709038516645769,7.050544626379888,8.32942326793164,10.402915029651137,14.34572229572069,51894938,0.3200816110386464,0.24877979526914348,0.23668518981926384,0.17449621537441642,0.14894670892385947,0.12789465088923788,0.13142639562837602,0.1292811741416045,0.1358618951694265,0.16050550571872038,0.200461074443352,0.2764377962205233
MMR,Myanmar,2018,SO2,17.742179983058705,13.426641247239102,11.80616833138718,9.235948962183814,7.899139900991785,6.837220035511249,7.098380971261878,7.003250625514527,7.359855232285786,8.96259812079387,11.963858325380064,13.77831935504915,52272247,0.3394187355875233,0.2568598447133735,0.22585920845122998,0.17668934266751177,0.15111536913635615,0.13080019375312582,0.13579636190619235,0.13397646031008628,0.1407985241630379,0.171459974177002,0.2288759143141496,0.26358766163331665
MMR,Myanmar,2019,SO2,18.60735744602868,14.233480101493727,13.111669154258744,10.154392509032084,8.711931069226466,7.614130511371864,8.171030579435476,8.007791166785141,8.31174757449066,9.502420300278963,10.977150833249716,17.67758877002118,52640713,0.3534784463506161,0.2703891966944621,0.2490784871067142,0.19289998045870094,0.1654979686393394,0.14464337729186655,0.15522264258532129,0.15212163191606354,0.15789580157264702,0.18051465792796087,0.20852967613204093,0.3358159067872272
