Country_code_A3,Name,Year,Substance,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BGD,Bangladesh,2008,SO2,16.62411963440477,15.047273833063022,6.989176431453907,6.186832055474887,5.700169227329514,5.974492997404703,6.289112490348827,5.248435488535873,5.54697761178421,7.098717591819002,8.664447582409945,10.267629753845755
BGD,Bangladesh,2009,SO2,13.54820587287508,10.40108024931949,6.61919309933761,5.616699723029395,5.246415300860713,5.403896163528678,5.570664814543496,4.852356865928108,5.137585841749562,6.239385147790654,7.976078151791119,14.202963305208707
BGD,Bangladesh,2010,SO2,18.089525751447233,11.020215841308133,6.557900750999483,6.030545282665783,5.621367142696705,5.811088821649867,6.008265730697938,5.190695719355431,5.496139008108678,6.736519174314759,7.324565033017555,13.210143308513162
BGD,Bangladesh,2011,SO2,23.22103280923809,13.948637895824342,10.488638390146132,8.969244311917963,8.19648817287838,8.746540020764986,9.354362927635076,7.525592545626533,7.920812162248752,10.57127278886253,11.81618125104316,17.130064363107067
BGD,Bangladesh,2012,SO2,25.786192247718585,21.62179231906273,16.867790604533546,13.972088365115017,12.559763341323448,13.744169289923386,15.053166611045354,11.449084728329,12.014323084911245,17.133452829483915,19.604390258837935,24.23261855879233
BGD,Bangladesh,2013,SO2,33.501678030363976,23.781394363415345,20.450919713129416,17.000351631093565,15.171303517531555,16.76112065550049,18.52379988543025,13.781691146028926,14.455553760113148,21.16089511474023,23.202982689420466,25.6531795305863
BGD,Bangladesh,2014,SO2,32.71614757187451,28.27762514591541,23.820508257890303,19.014306383257264,16.89808018701266,18.7825295507776,20.895361663313224,15.326541949698672,16.063545315180516,23.92362272906685,26.12860141555881,28.816670530487865
BGD,Bangladesh,2015,SO2,37.49805383793211,31.829705197848373,27.772865809572107,23.157535757270537,20.74996176690172,22.926883519080278,25.277282612169113,18.885075109598688,19.769030950914235,28.753601382277292,30.115611190518432,34.77275819952958
BGD,Bangladesh,2016,SO2,24.770586648643803,16.995142165073258,26.8771891532725,43.26994887634416,65.32082316894486,36.37811759278225,12.536442495753608,54.0876193910029,23.38983229272556,20.319021826468973,18.64317998654295,17.710135166383186
BGD,Bangladesh,2017,SO2,70.86737823996539,45.891491199981935,50.65968880653857,24.051777184653634,39.57843581911656,36.07595609117959,24.385865031460295,24.528619029054543,37.77404323466046,17.156091008009422,24.095972195179527,25.563036933601335
BGD,Bangladesh,2018,SO2,82.84079730918944,51.240306739317724,57.55934274827309,28.967925616269216,46.506429592109555,42.56031719973439,29.37513686650733,29.491513853843234,44.4338977926167,21.201081821038663,29.331754788829283,31.575821130623684
BGD,Bangladesh,2019,SO2,78.0598129651899,50.32076245524031,56.86076547307628,26.09538354948049,44.54050040697542,40.40542319966743,26.629860656962993,26.8479304128167,42.43377504107849,17.938637156582743,25.165182107770292,31.5665135711944
BGD,Bangladesh,2020,SO2,63.60544967612439,42.42182699411761,44.44926429577288,20.977714665576027,35.10381916667517,31.813772124852647,21.429069758264006,21.5529197593975,33.43483036485991,14.711891444017832,20.939756430280923,23.761740504037455
BGD,Bangladesh,2021,SO2,75.69814174535325,49.02259080798051,52.10378286432452,23.405465395583423,41.05412802956248,37.070915754109755,23.922428677667035,24.139525459584046,39.03965709896343,15.59055607549652,23.222725101206077,25.45020731895095
BGD,Bangladesh,2022,SO2,87.04213510819402,59.171069603405485,62.35190518206746,27.621403604273418,48.77009996068,44.02612626009967,28.31540242208589,28.574654055676845,46.35823444834967,18.27896669659939,27.220492871050315,29.603895755322284
IRQ,Iraq,2008,SO2,65.29231618748548,56.29346495355679,46.932899293255986,41.75534140132579,43.487741406988086,44.48085290290863,47.25987598241638,47.907349478262226,45.47187418287925,44.747806978195726,48.7788538519246,57.70210553200148
IRQ,Iraq,2009,SO2,65.54199805893809,52.975198466997064,52.5839173492602,43.91516149816188,42.23720472802321,45.37523503869815,49.4784558174943,49.93124033650942,45.063546089339965,47.37798407050148,50.23211487335432,58.11669803774235
IRQ,Iraq,2010,SO2,72.32783872389078,63.751713450739885,60.12587413027705,52.56147433186642,55.03416943876551,59.94172394431655,67.2791165784348,70.63298779665003,63.17291895625489,64.0303571308642,63.86218685245006,81.54886112604791
IRQ,Iraq,2011,SO2,75.37708524410739,66.15737711575694,63.183308865122065,50.858262122921396,47.673446821387124,50.49418505838448,61.56629274160895,61.22534958841805,59.035153348814696,60.098684367068245,65.44679162689162,78.41333498219377
IRQ,Iraq,2012,SO2,87.93225959872257,74.43029483237703,74.40671926348487,50.59854000515764,56.826287666303806,65.96077653355566,76.30904840814941,72.67627673055081,72.21523784368053,66.55975228965409,71.778533625884,81.28295063383331
IRQ,Iraq,2013,SO2,103.24897254658129,83.61244318794577,83.53779487642439,72.54492393696736,79.34967613457803,87.55026109512008,94.27168671414748,88.04845062003643,90.95880525183551,85.5498037659416,94.49757890530813,105.52637150626072
IRQ,Iraq,2014,SO2,101.83882065827427,88.78477290335368,87.57026012947505,83.11244188793387,85.41406861844361,83.81104664599151,91.05380875439505,95.78526212860332,89.9706921332881,82.66211230262546,95.36294752254237,103.52883858159382
