Country_code_A3,Name,Year,Substance,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BGD,Bangladesh,2008,NOx,29.483199902216757,27.6266355184727,17.986286521263544,17.81541060833658,16.52970558774286,15.953122688125761,15.893676760610791,14.998323523737595,16.40916024401574,18.822323918376874,20.128848050237274,21.4435749504538
BGD,Bangladesh,2009,NOx,27.678696695661916,23.550309735940125,19.375935378269187,18.614501936423057,17.29393290707105,16.717327962133396,16.656863180915096,15.702815948037856,17.152943108060864,19.67738407438445,21.3354247546107,28.943705518449654
BGD,Bangladesh,2010,NOx,34.65298013096174,25.22285723324336,20.2065490514651,20.1294946090503,18.716113459023312,18.143565139690153,18.111643411233665,17.010074004723855,18.53351007434805,21.332029381096923,21.37547205468771,28.383508651743778
BGD,Bangladesh,2011,NOx,38.79194412391134,26.899052631801172,23.534952621154225,22.667356296388743,21.031274006989847,20.62683052520733,20.808519065325427,19.144962822050218,20.745180266468132,24.380954164265155,25.15840534373216,31.272827400373288
BGD,Bangladesh,2012,NOx,36.41393918116191,31.350683210606807,26.370415979077976,24.698883465522893,22.819583145815457,22.662733632538828,23.102511835090528,20.7628657361729,22.43119871712457,26.99455194470654,29.249485292712826,35.0096485416154
BGD,Bangladesh,2013,NOx,43.316287228656165,30.575631062066055,27.480597714604432,25.652107587233075,23.566091021297602,23.597094061236813,24.24603222849185,21.38418788692212,23.11564876356088,28.39749645174664,30.033924591927818,33.31200926447045
BGD,Bangladesh,2014,NOx,40.892711069526754,35.33914405287674,30.640426329891483,27.36481146333528,25.128588186933595,25.284867202977615,26.10175028691923,22.831149577944597,24.6145149227138,30.49691411722097,32.3318718186155,36.2766404614042
BGD,Bangladesh,2015,NOx,45.21425237225227,37.53547036240052,33.05504786751067,30.327219298510258,27.908596222446587,28.23901299907065,29.187542528868345,25.40906463857148,27.29736702940471,33.88188369951745,34.54504944712943,42.05591364126314
BGD,Bangladesh,2016,NOx,47.51156800114728,32.3284261465777,34.87879395434317,39.94975295607906,47.5461227443012,33.72485366931629,22.860811575484245,40.960635843898025,29.407115637747474,31.187980539497744,32.640154784835566,36.397921595643766
BGD,Bangladesh,2017,NOx,68.10848368185006,48.54179479958842,47.5678428330347,33.590431719226764,38.14161869735264,35.29136861421939,29.538812611974553,30.189508144827865,37.12555049333776,30.557085599858826,35.03723545210442,39.13370699155379
BGD,Bangladesh,2018,NOx,79.63832763471304,52.05702319872508,52.89849892106193,38.665109910035696,44.75234143513006,41.57106649572029,34.667426708354476,35.28032939140505,43.520441619832305,34.99376446301742,40.6436340062365,45.9487695055052
BGD,Bangladesh,2019,NOx,71.48546332763405,50.890897575336965,51.55334736664967,35.28552423852952,41.70490858181614,38.420705131741414,31.305125313480303,32.03920902177715,40.48141886672694,31.427152466566035,35.33962483686521,47.705730246332195
BGD,Bangladesh,2020,NOx,61.78672844666523,47.1431713036456,42.485393764303524,31.65978743761777,35.18562760560425,32.498854514082936,27.678381650487058,28.332967828106327,34.28327256600433,29.070947562035744,32.842041673429875,38.87393297159566
BGD,Bangladesh,2021,NOx,68.48528707646564,50.35352439854231,45.98399446149521,33.418501114871596,38.34548578298419,35.308004201911054,29.358996890353747,30.08144741399974,37.28472521950585,30.201069408824555,34.545034517332624,39.62515782591536
BGD,Bangladesh,2022,NOx,71.82869505250041,56.93518376940711,51.65225353415318,36.369351949553106,42.768458544912065,39.38380452977971,32.38657511618165,33.10904787627593,41.52562408584065,32.547275637025216,37.242880672968944,42.439227628128634
IRQ,Iraq,2008,NOx,23.79924540468172,21.928992114942503,20.251524455272083,19.66307767472522,19.85711470156915,19.820556875158903,20.056005948454168,20.112751801227574,19.997140122262795,20.51823443616348,21.086563109543185,22.45855942756104
IRQ,Iraq,2009,NOx,26.807343324329032,24.17156947819959,24.61630686425983,23.152358976592026,22.731830411997276,23.202625818921415,23.861598247713253,23.929554254967364,23.195454529740122,24.275270196591332,24.636132306981835,25.508100637001434
IRQ,Iraq,2010,NOx,29.00045548758505,27.602546887721665,27.33495237403599,26.210437611790628,26.58727977944013,27.342950095846692,28.58102631843767,29.224969037124545,28.101819869502247,28.998636484160574,28.62220324010448,31.49910143364422
IRQ,Iraq,2011,NOx,31.634409117011504,29.878732779393236,29.83364071482783,27.532462245474576,26.75928889277127,27.190292792756942,29.447029781978873,29.34920637537264,29.204142062325644,30.190293797577997,31.00076390559637,32.9691920240229
IRQ,Iraq,2012,NOx,37.205411820777314,34.538322023402856,35.2361943350134,30.231670995842688,31.51735506547651,33.33931159026524,35.354650028844176,34.42773902929668,34.763341478581836,34.397432678443,35.09905727496205,36.31246170134829
IRQ,Iraq,2013,NOx,39.165243531697726,35.19301225980858,35.903989410841675,34.01324661102914,35.26966596361857,36.75050037179655,37.881678871019005,36.497371986758196,37.595257930909476,37.42564391446044,38.77035628517273,40.45486167372103
IRQ,Iraq,2014,NOx,38.630880027352944,35.91717126602082,36.05574847232274,35.61099078706825,35.72384532078207,35.06446566053318,36.38126704096543,37.23664885257572,36.51098027226605,36.055520832074635,38.445279289704786,39.38389063654296
