country,city,date,pm25
Iraq,Baghdad,2021-08-01,60.40350877
Iraq,Baghdad,2021-09-01,67.29268293
Iraq,Baghdad,2021-10-01,69.54716981
Iraq,Baghdad,2021-11-01,62.41527778
Iraq,Baghdad,2021-12-01,63.7298091
Iraq,Baghdad,2022-01-01,95.29324324
Iraq,Baghdad,2022-02-01,53.27719821
Iraq,Baghdad,2022-03-01,76.77717391
Iraq,Baghdad,2022-04-01,99.23411371
Iraq,Baghdad,2022-05-01,128.284127
Iraq,Baghdad,2022-06-01,152.1939219
Iraq,Baghdad,2022-07-01,101.7418478
Iraq,Baghdad,2022-08-01,130.9406657
Iraq,Baghdad,2022-09-01,76.95833333
Iraq,Baghdad,2022-10-01,105.6269113
Iraq,Baghdad,2022-11-01,69.62777778
Iraq,Baghdad,2022-12-01,69.35810811
Iraq,Baghdad,2023-01-01,70.94971264
Iraq,Baghdad,2023-02-01,51.15964523
Iraq,Baghdad,2023-03-01,47.44129555
Iraq,Baghdad,2023-04-01,37.0488145
Iraq,Baghdad,2023-05-01,56.33333333
Iraq,Baghdad,2023-06-01,79.27894737
Myanmar,Rangoon,2019-04-01,34.64173387
Myanmar,Rangoon,2019-05-01,24.18582996
Myanmar,Rangoon,2019-06-01,7.670948012
Myanmar,Rangoon,2019-07-01,7.019525802
Myanmar,Rangoon,2019-08-01,6.33997155
Myanmar,Rangoon,2019-09-01,9.538573508
Myanmar,Rangoon,2019-10-01,19.96091644
Myanmar,Rangoon,2019-11-01,26.2512
Myanmar,Rangoon,2019-12-01,47.85483871
Myanmar,Rangoon,2020-01-01,52.31476323
Myanmar,Rangoon,2020-02-01,61.09352518
Myanmar,Rangoon,2020-03-01,45.68506057
Myanmar,Rangoon,2020-04-01,38.23089701
Myanmar,Rangoon,2020-05-01,15.89894419
Myanmar,Rangoon,2020-06-01,3.74676525
Myanmar,Rangoon,2020-07-01,3.027139875
Myanmar,Rangoon,2020-08-01,6.279937792
Myanmar,Rangoon,2020-09-01,4.250505051
Myanmar,Rangoon,2020-10-01,5.434514638
Myanmar,Rangoon,2020-11-01,25.83753501
Myanmar,Rangoon,2020-12-01,35.66260163
Myanmar,Rangoon,2021-01-01,37.97162162
Myanmar,Rangoon,2021-02-01,51.44940476
Myanmar,Rangoon,2021-03-01,50.72386895
Myanmar,Rangoon,2021-04-01,27.71468531
Myanmar,Rangoon,2021-05-01,10.91824818
Myanmar,Rangoon,2021-06-01,6.982363316
Myanmar,Rangoon,2021-07-01,3.781456954
Myanmar,Rangoon,2021-08-01,3.786956522
Myanmar,Rangoon,2021-09-01,5.482758621
Myanmar,Rangoon,2021-10-01,7.661949686
Myanmar,Rangoon,2021-11-01,23.03059805
Myanmar,Rangoon,2021-12-01,36.8125937
Myanmar,Rangoon,2022-01-01,50.62102874
Myanmar,Rangoon,2022-02-01,48.11343284
Myanmar,Rangoon,2022-03-01,37.37903226
Myanmar,Rangoon,2022-04-01,24.92083333
Myanmar,Rangoon,2022-05-01,14.08130081
Myanmar,Rangoon,2022-06-01,7.583931133
Myanmar,Rangoon,2022-07-01,6.682926829
Myanmar,Rangoon,2022-08-01,6.517146776
Myanmar,Rangoon,2022-09-01,6.392550143
Myanmar,Rangoon,2022-10-01,13.48879552
Myanmar,Rangoon,2022-11-01,24.12552301
Myanmar,Rangoon,2022-12-01,26.44444444
Myanmar,Rangoon,2023-01-01,51.00478469
Myanmar,Rangoon,2023-02-01,53.26617375
Myanmar,Rangoon,2023-03-01,49.43893805
Myanmar,Rangoon,2023-04-01,44.15249267
Myanmar,Rangoon,2023-05-01,20.51752022
Myanmar,Rangoon,2023-06-01,7.696646341
Myanmar,Rangoon,2023-07-01,3.662109375
Myanmar,Rangoon,2023-08-01,8.322535211
Myanmar,Rangoon,2023-09-01,7.402352941
Myanmar,Rangoon,2023-10-01,9.959311424
Myanmar,Rangoon,2023-11-01,20.34033613
Myanmar,Rangoon,2023-12-01,32.02322404
Myanmar,Rangoon,2024-01-01,38
Pakistan,Karachi,2019-05-01,27.09050132
Pakistan,Karachi,2019-06-01,29.57301808
Pakistan,Karachi,2019-07-01,32.0448468
Pakistan,Karachi,2019-08-01,27.26361186
Pakistan,Karachi,2019-09-01,34.20181564
Pakistan,Karachi,2019-10-01,46.65851351
Pakistan,Karachi,2019-11-01,64.0375
Pakistan,Karachi,2019-12-01,85.07967699
Pakistan,Karachi,2020-01-01,73.71049798
Pakistan,Karachi,2020-02-01,73.99281609
Pakistan,Karachi,2020-03-01,43.54089674
Pakistan,Karachi,2020-04-01,27.7805949
Pakistan,Karachi,2020-05-01,23.73470508
